Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲙⲛⲧⲁⲧϩⲁⲣⲉϩ									heedlessness
ⲙⲁ ⲛ ϩⲁⲣⲉϩ									place of watch, guardhouse
ⲣⲉϥϩⲁⲣⲉϩ									guard, watcher, watchman
ϩⲁⲣⲓϩⲁⲣⲟ_					ϩⲁⲣⲓϩⲁⲣⲟ=		intensive pron.	used appositionally	(he) alone, apart; (he him)self, by (him)self; other pers. sim.
ⲡ.ϩⲁⲥ							n. m.		dung (of animals)
ⲡ.ϩⲁⲥⲓⲉ	ϩⲁⲥⲉⲓⲉ, ϩⲁⲥⲓⲏ						n. m.		a drowned person
ⲃⲱⲕ ⲛ ϩⲁⲥⲓⲉ									to drown, be drowned
ϣⲉ ⲛ ϩⲁⲥⲓⲉ									to drown, be drowned
ⲣ-ⲃⲟⲗ ⲛ ϩⲁⲥⲓⲉ									to drown, be drowned
ⲡ.ϩⲁⲧ	ϩⲁⲧⲉ, ϩⲁⲁⲧ						n. m.		silver; silver coin(s), money
ϩⲁⲧ	ϩⲁⲧⲉ, ϩⲁⲁⲧ						adj. 		silver, white
ⲙⲁⲓ-ϩⲁⲧ									money-loving
ⲙⲉⲛⲅ-ϩⲁⲧ									silver-smith
ⲣⲉϥⲙⲉⲛⲅ-ϩⲁⲧ									silver-smith
ⲥⲁ ⲛ ϩⲁⲧ									dealer in silver
ⲣ-ϩⲁⲧ									to work silver
ⲟ ⲛ ϩⲁⲧ							Q 		to become silver
ⲣⲉϥⲣ-ϩⲁⲧ									silversmith
ϯ-ϩⲁⲧ									to pay
ϩⲁⲧⲁⲓⲗⲉ	ϩⲁⲧⲁⲗⲏ						n.		name of an eye-disease
ϩⲁⲧⲉ	ϩⲁⲁⲧⲉ						vb. intr.		to flow
ϩⲁⲧⲉ	ϩⲁⲁⲧⲉ						vb. tr.		to pour (ⲙⲙⲟ/) +/- ⲉⲃⲟⲗ
ⲡ.ϩⲁⲧⲉ	ϩⲁⲁⲧⲉ						n. m.		flow
ⲙⲁ ⲛ ϩⲁⲧⲉ									channel, water-course
ϩⲁⲧⲏⲣ	ϩⲁⲧⲏⲣⲉ						n. m. f.		hammer
ϩⲁⲑⲱⲣ	ϩⲑⲱⲣ								name of 3rd Coptic month
ⲡ.ϩⲁⲩϭⲁⲗ							n. m.		anchor
ⲡ.ϩⲁϣⲏⲧ	ϩⲁϣⲓⲧ, ϩⲁⲣϣⲏⲧ						n. m.		falcon
ⲧ.ϩⲁϥⲗⲉⲉⲗⲉ	ϩⲁϥⲗⲉⲗⲉ, ϩⲁⲃⲗⲉⲉⲗⲉ						n. f.		lizard
ϩⲁϩ							pron.		many
ϩⲁϩ							adj.	(bef. or aft. noun, with =n)	many
ⲣ-ϩⲁϩ									to become or do much/many (+ ⲛ + noun)
ⲙⲛⲧϩⲁϩ									multitude
ⲡ.ϩⲁϭⲉ	ϩⲁⲁϭⲉ						n. m.		snare
ⲡ.ϩⲁϭⲓⲛ							n. m.		mint
ⲡ.ϩⲃⲁ							n. m.		straits, difficulty, distress
ⲣ-ϩⲃⲁ						ⲟ ⲛ ϩⲃⲁ			to become distressed
ϯ-ϩⲃⲁ									to distress, disturb (ⲛⲁ/)
ⲡ.ϩⲃⲃⲉ	ϩⲉⲃⲃⲉ, ϩⲏⲩⲃⲉ, ϩⲏⲃ(ⲃ)ⲉ						n. m.		plow; yoke of animals
ϩⲃⲟⲣⲃⲣ	(ⲃⲟⲣⲃⲣ  ⲃⲣⲃⲣ-  ϩⲟⲩⲉⲣⲟⲩⲱⲣ=)			ϩⲃⲣⲃⲣ-	ϩⲃⲣⲃⲱⲣ=	ⲃⲣⲃⲱⲣ (ⲃⲣⲃⲟⲣⲧ)	vb. tr.		to throw down, push, cast (ⲙⲙⲟ/)
ϩⲃⲟⲣⲃⲣ ⲙⲙⲟ_ ⲉⲃⲟⲗ							vb. tr.		to cast forth (on, onto: ⲉ, ⲉⲡⲉⲥⲏⲧ ⲉ, ⲉϩⲣⲁⲓ ⲉ)
ϩⲃⲟⲣⲃⲣ ⲙⲙⲟ_ ⲉⲃⲟⲗ							vb. intr.		to fall to pieces
ⲕⲁϩ-ⲃⲣⲃⲱⲣ									unoccupied land
ⲉⲓⲱϩ-ⲃⲉⲣⲃⲱⲣ									unoccupied land or sim.
ⲧ.ϩⲃⲟⲩⲣ							n. f.		left hand
ϩⲃⲟⲩⲣ							adj.		left
(ⲛ) ⲥⲁ ϩⲃⲟⲩⲣ	ϩⲓ ϩⲃⲟⲩⲣ								on, to the left
ⲧ.ϩⲃⲱ							n. f.		covering; tent
ϩⲉ	(ϩⲉⲉ, ϩⲏⲉ)					ϩⲏⲩ		used with e> ej=n> h=n> hat=n> hij=n in ordinary senses	to fall (+/- ⲉⲡⲉⲥⲏⲧ, ⲉϩⲣⲁⲓ  down)
ϩⲉ ⲛⲥⲁ	ϩⲉ ⲛⲧⲛ								to become lost to (someone)
ϩⲉ ⲉⲃⲟⲗ									to perish, cease (from: ϩⲛ; from on, from with: hi, hijⲛ); to fall away
ϩⲉ ⲉ									to find, chance upon, light upon, discover
ϩⲉ ⲉⲣⲟ_ ⲛⲥⲁ									to find something in the possession of.
ⲧ.ϩⲉ	ϩⲓⲏ						n. f.		way, manner
ⲧⲁⲓ ⲧⲉ ⲑⲉ									this is the way (that), thus
ⲟⲩⲛ-ⲑⲉ									there is a way, it is possible (to: ⲉ, ⲛ, etre)
ⲙⲛ-ⲑⲉ									there is no way (to: ⲉ, ⲛ, etre)
ⲛ ⲑⲉ ⲛ							prep.		like, in the manner of
ⲛ ⲑⲉ									+ Rel. as, even as, in the same way that
ⲛ ⲧⲉⲓϩⲉ									(1) in this way, thus; (2) of this sort
ⲛ ⲧⲉⲓϩⲉ ⲧⲏⲣⲥ									so much, to such an extent
ⲛ ⲧ(_)ϩⲉ									like (e.g. me), as (I) do, in (my) way or manner
ⲛ ⲧ(_)ϩⲉ ⲧ(_)ϩⲉ 									as (I) was before
ⲁϣ ⲛ ϩⲉ									of what sort?
ⲕⲁⲧⲁ ⲑⲉ									like (ⲛ); as (+ Rel.)
ⲕⲁⲧⲁ ⲧⲉⲓϩⲉ									in this way, likewise
ⲣ-ⲑⲉ						ⲟ ⲛ ⲑⲉ			(1) to become like; (2) to make like
ⲣ-ⲧ(_)ϩⲉ									to resume one's former appearance
ϯ-ⲑⲉ									to provide means (to: ⲛⲁ/; so that: ⲉ, etre)
ϭⲛ-ⲑⲉ									to find means (to: ⲛ)
ⲡ.ϩⲉ	ϩ-						n. m.		season
ϩⲉ-ⲃⲱⲱⲛ	ϩ-ⲃⲱⲱⲛ								bad season, famine
ⲣ-ϩⲉ-ⲃⲱⲱⲛ									to have a bad season
ϩⲉ-ⲛⲟⲩϥⲉ									good season, plenty
ⲣ-ϩⲉ-ⲛⲟⲩϥⲉ									to be in plenty
ⲧ.ϩⲉⲗⲡⲉ	ϩⲗⲡⲉ						n. f.		navel
ⲧ.ϩⲉⲗϩⲓⲗⲉ							n. f.		death-rattle
ⲧ.ϩⲉⲛⲉⲉⲧⲉ							n. f.	Many variant spellings: e>y for ee; -y for -e; hy for he-	monastery, convent
ⲧ.ϩⲏ	ⲉϩⲏ, ϩⲓⲏ (ϩⲏⲧ=)						n. f.		front, forepart, beginning
ϩⲏⲧ_	ⲉ ϩⲏⲧ=						prep.	used idiomatically with certain verbs	forward (to), before, into the presence of
ⲉⲑⲏ							adv.		forward, ahead, in advance
ϯ ⲉⲑⲏ									to advance, progress
ⲛⲥⲁ-ⲑⲏ							adv.		formerly, henceforth
ϩⲁ ⲑⲏ	ϩⲁ ⲧ(=)ϩⲏ						prep.	also used as conj. (+ etre or =mpate-)	in front of, before (time or place)
ϩⲓ ⲑⲏ	ϩⲓ ϩⲏ								at the front, forward, in front
ϩⲓ ⲑⲏ ⲙⲙⲟ_									in front of, before, on the front of
ⲣ-ϩⲓⲑⲏ ⲙⲙⲟ_									to precede
ⲧ.ϩⲏ	(ϩⲏⲧ=)						n. f.		belly, womb
ⲙⲛⲧⲙⲁⲓ-ϩⲏⲧⲥ									gluttony
ϣⲁϫⲉ ⲉⲃⲟⲗ ⲛ ϩⲏⲧ									to ventriloquize
ⲛϩⲏⲧ_									see ϩⲛ
ⲧ.ϩⲏ	ϩⲉ						n. f.		storey (of a house)
ϩⲏⲃⲉ	ϩⲏⲏⲃⲉ, ϩⲏⲓⲃⲉ						n. m. f.		grief, mourning
ⲣ-ϩⲏⲃⲉ									to grieve, mourn (for: ⲉ, etbe, ⲉϫⲛ, ⲛⲁ/, hijⲛ)
ⲣⲉϥⲣ-ϩⲏⲃⲉ									mourner
ⲡ.ϩⲏⲃⲥ	ϩⲃⲥ, ϩⲉⲃⲥ						n. m.		lamp
ⲧ.ϩⲏⲕⲉ							n. f.		corn-measure
ⲧ.ϩⲏⲙⲉ	ϩⲉⲙⲉ, ϩⲙⲙⲉ, ϩⲓⲙⲉ						n. f.		freight, fare (on ship or camel)
ϯ-ϩⲏⲙⲉ									to pay fare
ⲁⲧϩⲏⲙⲉ									free of charge
ϩⲏⲛⲉ							n. m., usu. pl.		spices, incense
ⲥϯ-ϩⲏⲛⲉ									spices, incense
ϯ-ⲥϯ-ϩⲏⲛⲉ									to offer (burn) incense
ϣⲟⲩ-ϩⲏⲛⲉ									incense
ⲧⲁⲗⲉ-ϣⲟⲩ-ϩⲏⲛⲉ ⲉϩⲣⲁⲓ									to offer incense
ϯ-ϣⲟⲩ-ϩⲏⲛⲉ ⲉϩⲣⲁⲓ									to offer incense
ϩⲏⲧ	(ϩⲧⲏ=)		(ϩⲧⲉⲉⲩ)						tip, edge, end
ϩⲏⲧ_ ⲛ									is the preferred construction before nouns
ⲡ.ϩⲏⲧ							n. m.		north
ⲉ ϩⲏⲧ	ⲉⲛϩⲏⲧ, ⲁⲛϩⲏⲧ						adv.		northward
ⲧⲁⲛϩⲏⲧ	ϩⲁⲛϩⲏⲧ						adv.		(on) the north side
ⲥⲁ ⲛ ϩⲏⲧ									(on) the north side
ⲡ.ϩⲏⲧ	(ϩⲧⲏ=)						n. m.		heart, mind
ⲁ-ⲡⲉϥϩⲏⲧ ⲉⲓ ⲉⲣⲟϥ									he came to his senses
ⲙⲛⲧϩⲏⲧ ⲛ ⲟⲩⲱⲧ									unanimity, being of a single mind
ⲣ-ϩⲏⲧ ⲛ ⲟⲩⲱⲧ									to become unanimous
ϩⲏⲧ ⲥⲛⲁⲩ									doubt
ⲙⲛⲧϩⲏⲧ ⲥⲛⲁⲩ									doubt, hesitation
ⲣ-ϩⲏⲧ ⲥⲛⲁⲩ									to become doubtful, hesitant
ϩⲏⲧ ϣⲏⲙ									impatience
ⲙⲛⲧϩⲏⲧ ϣⲏⲙ									impatience
ⲣ-ϩⲏⲧ ϣⲏⲙ									to become impatient
ⲁⲧϩⲏⲧ									senseless
ⲙⲛⲧⲁⲧϩⲏⲧ									senseless
ⲣ-ⲁⲧϩⲏⲧ									to become senseless
ⲃⲁⲗ-ϩⲏⲧ									guileless, simple
ⲙⲛⲧⲃⲁⲗ-ϩⲏⲧ									guilessness
ⲣⲙⲛϩⲏⲧ									wise, a wise person
ⲙⲛⲧⲣⲙⲛϩⲏⲧ									wisdom, understanding
ⲣ-ⲣⲙⲛϩⲏⲧ									to become wise
ϣⲥ-ⲛ-ϩⲏⲧ									anguish
ⲕⲱ ⲛ ϩⲧⲏ_	ⲕⲁ-ϩⲧⲏ=								to set one's heart or mind (on, to: ⲉ, ⲉϫⲛ, hi), to be confident (in)
ⲕⲁ-ϩⲧⲏ_ ⲉⲃⲟⲗ									to relax, become careless
ⲣ-ϩⲧⲏ_									to regret, repent (concerning: ⲉ, ⲉϫⲛ, ⲛⲥⲁ)
ⲁⲧⲣ-ϩⲧⲏ_									unrepentant
ⲙⲛⲧⲣⲉϥⲣ-ϩⲧⲏ_	ⲙⲛⲧⲣ-ϩⲧⲏ=								repentance
ⲥⲉⲕ-ⲡϩⲏⲧ ⲛ									to persuade
ϯ-ϩⲧⲏ_									to observe, notice, pay attention to, heed (e, ⲉϫⲛ, hi, ϩⲛ)
ⲙⲛⲧⲁⲧϯ-ϩⲧⲏ_									heedlessness
ⲣⲉϥϯ-ϩⲧⲏ_									attentive
ⲙⲛⲧⲣⲉϥϯ-ϩⲧⲏ_									attentiveness
ϣⲛ-ϩⲧⲏ_									to pity, have pity (on, for: ⲉϫⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ, ha)
ⲙⲛⲧϣⲛ-ϩⲧⲏ_									pity, mercy
ⲣ-ϣⲛ-ϩⲧⲏ_									to be merciful
ϩⲁϩⲧⲛ	ϩⲁⲧⲛ (ϩⲁϩⲧⲏ=, ϩⲁⲧⲏ=)						prep.		with, near, beside
ⲡ.ϩⲏⲩ	ϩⲏⲟⲩ						n. m.		profit, benefit, usefulness, advantage
ⲙⲁⲓ-ϩⲏⲩ									profit-loving
ⲣ-ϩⲏⲩ									to be profitable, useful (to: ⲛⲁ/)
ϯ-ϩⲏⲩ									to give profit or benefit (to: ⲛⲁ/); to gain profit or benefit (in, by, from: ⲙⲙⲟ/, e, ⲙⲛ, ϩⲛ)
ϯⲛ-ϩⲏⲩ									to find profit or benefit (in: ⲉ, ϩⲛ)
ϩⲏϭⲉ									to be disturbed, concerned
ϩⲓ	(ϩⲁⲧ=)				ϩⲓⲧ=		vb. tr.		to beat, thresh, rub (ⲙⲙⲟ; on, against: ⲉϫⲛ, hi)
ⲡ.ϩⲓ	(ϩⲁⲧ=)				ϩⲓⲧ=		n. m.		threshing
ⲣⲉϥϩⲓ									thresher
ϩⲓ	(ϩⲓⲱ=, ϩⲓⲱⲱ=)						prep.		(1) on, in, at; (2) (to enquire) concerning; (3) and, or, with (connecting two nouns); (4) from on, from in, from at; (5) in the time of, in the presence of
ϩⲓ ⲛⲁⲓ							adv.		thus
ⲉⲃⲟⲗ ϩⲓ									from on, from
ⲉⲡⲉⲥⲏⲧ ϩⲓ									down from on, down onto
ⲉϩⲟⲩⲛ ϩⲓ									in toward
ⲉϩⲣⲁⲓ ϩⲓ									down from, up from, down on
(ϩⲓⲃⲉ)						ϩⲟⲃⲉ (ϩⲁⲃⲉ)	vb. intr.		to be low, short
ⲡ.ϩⲃⲃⲉ							n. m.		lower part or place
ϩⲃⲁⲓ							n.		shortness
ⲡ.ϩⲓⲃⲱⲓ	ϩⲉⲃⲱⲓ, ϩⲓⲃⲟⲩⲓ, ϩⲃⲟⲩⲓ, ϩⲁⲃⲓⲟⲩⲓ						n. m.		ibis
ϩⲓⲉ	ϩⲓⲏ		(ϩⲓⲏⲩ, ϩⲓⲏⲟⲩ, ϩⲓⲉⲩ)				n. m. f.		rudder
ϩⲓⲉⲓⲃ	ⲉϩⲓⲉⲓⲃ, ϩⲉⲓⲉⲃ, ϩⲓⲃ	(ϩⲉⲓⲁⲉⲓⲃⲉ, ϩⲓⲁⲃⲉ, ϩⲓⲉⲓⲁⲃⲉ, ϩⲓⲉⲉⲃⲉ, ϩⲓⲉⲓⲃⲉ, ϩⲓⲃⲉ, ϩⲓⲏⲃⲉ, ϩⲁⲓⲃⲉ)					n. m. f.		lamb
ⲡ.ϩⲓⲉⲓⲧ	ϩⲉⲓⲉⲓⲧ, ϩⲓⲧ						n. m.		pit
ⲧ.ϩⲓⲏ			(ϩⲓⲟⲟⲩⲉ, ϩⲓⲏⲩ)				n. f.		road, way
ϩⲓⲏ ⲛ ⲉⲓ ⲉⲃⲟⲗ									exodus, way out
ϩⲓⲏ ⲛ ⲉⲓ ⲉϩⲟⲩⲛ									way in
ϩⲓⲏ ⲛ ⲃⲱⲕ									way of going (in: ⲉϩⲟⲩⲛ)
ϩⲓⲏ ⲙ ⲙⲟⲟϣⲉ									way, road
ϩⲓⲏ ⲛ ϫⲓⲟⲟⲣ									a way for crossing, ford
ϩⲓⲏ ⲙ ⲡⲣⲣⲟ									the king's road, highway
ⲣⲙ(ⲛ)ϩⲓⲏ									traveling companion
ϯ-ⲧⲉϩⲓⲏ ⲛⲁ_									to provide way or means to (someone)
ⲡ.ϩⲓⲕ							n. m.		magic
ϩⲓⲕ							adj.		magical
ⲣ-ϩⲓⲕ									to bewitch, enchant (ⲉ, ϩⲓ)
ⲣⲉϥⲣ-ϩⲓⲕ									wizard, magician
ⲙⲛⲧⲣⲉϥⲣ-ϩⲓⲕ									magic, wizardry
ⲡ.ϩⲁⲕⲟ							n. m.		magician
ⲙⲛⲧϩⲁⲕⲟ									magic
ⲡ.ϩⲓⲛ	ϩⲉⲓⲛ						n. m.		cup, vessel; a liquid measure
ⲣⲉϥⲙ-ⲡϩⲓⲛ ⲉϩⲟⲩⲛ									diviner (by aid of cup)
ϩⲓⲛⲉ							vb. intr.		to row
ϩⲓⲛⲉ							vb. tr.		to row (ⲙⲙⲟ/)
ⲡ.ϩⲓⲛⲓⲉ	ϩⲉⲛⲉⲓⲉ						n. m.		steering-oar, rudder
ϩⲓⲛⲉ					ϩⲛⲧ=		reflex.	(not properly Sah.)	to move forward
ϩⲓⲛⲏⲃ	ϩⲓⲛⲏϥ								to sleep, doze
ⲡ.ϩⲓⲛⲏⲃ	ϩⲓⲛⲏϥ						n. m.		sleep
ϩⲓⲟⲩⲉ				ϩⲓ-	ϩⲓⲧ=		vb. tr. 	(2) mostly Boh. in this sense	(1) to beat, strike (ⲙⲙⲟ/, e, ⲉϫⲛ, ϩⲛ, ⲉϩⲟⲩⲛ ⲉ; with: ⲙⲙⲟ/, ϩⲛ) (2) to cast, throw (ⲙⲙⲟ/; +/- ⲉⲃⲟⲗ, ⲉϩⲣⲁⲓ)
ϩⲓ-ⲧⲟⲟⲧ_									to begin, undertake (to do: ⲉ + inf.); also lit., to place one's hand (on: ⲉ)
ⲡ.ϩⲓⲣ	ϩⲉⲓⲣ						n. m.		street, town quarter, road
ⲉ ⲡϩⲓⲣ							adv.		outside, to the outside
ⲧ.ϩⲓⲣϩⲓⲣⲉ	ϩⲉⲣϩⲓⲣⲉ, ϩⲏⲣϩⲓⲣⲉ						n. f.		outside, to the outside
ϩⲓⲥⲉ				ϩⲁⲥⲧ-	ϩⲁⲥⲧ=	ϩⲟⲥⲉ	vb. intr.		to become weary, troubled (with, by, of: ⲉtbe, ha, ϩⲛ); to experience difficulty or distress (in doing: Circum.); to be difficult or troublesome (to, for: ⲉ, ⲛⲁ/)
ϩⲓⲥⲉ				ϩⲁⲥⲧ-	ϩⲁⲥⲧ=	ϩⲟⲥⲉ	vb. tr.		to weary, distress, trouble
ⲡ.ϩⲓⲥⲉ				ϩⲁⲥⲧ-	ϩⲁⲥⲧ=		n. m.		weariness, distress, trouble; labor, product of labor
ⲁⲧϩⲓⲥⲉ									unwearied; without difficulty
ⲙⲛⲧⲙⲁⲓ-ϩⲓⲥⲉ									love of toil
ⲣ-ϩⲓⲥⲉ									to take trouble; to make trouble
ϯ-ϩⲓⲥⲉ									to give trouble, make trouble (to, for: ⲛⲁ/)
ⲟⲩⲉϩ-ϩⲓⲥⲉ									to give trouble, make trouble (to, for: ⲛⲁ/)
ϣⲡ-ϩⲓⲥⲉ									to labor, take trouble, be deeply concerned (for: ⲉ, ⲉϫⲛ; in, concerning: ⲉtbe, ϩⲛ)
ⲡ.ϣⲡ-ϩⲓⲥⲉ							n. m.		labor, product of labor
ⲁⲧϣⲡ-ϩⲓⲥⲉ									unsympathetic
ⲣⲉϥ-ϣⲡ-ϩⲓⲥⲉ									one who labors etc.
ⲙⲛⲧϣⲡ-ϩⲓⲥⲉ									labor, suffering
ϥⲓ ϩⲁ ϩⲓⲥⲉ									to bear up under difficulty
ϩⲓⲥⲉ					ϩⲁⲥⲧ=	ϩⲟⲥⲉ			to spin (flax etc.)
ϩⲓⲧⲉ				ϩⲉⲧ-	ϩⲁⲧ=		vb. tr.		to rub, move back and forth (ⲙⲙⲟ/); to wear out (ⲙⲙⲟ/); to convulse, torment (ⲙⲙⲟ/); to flay
ϩⲓⲧⲉ				ϩⲉⲧ-	ϩⲁⲧ=		vb. intr.		to become old, worn out; to loiter, loaf around; to be convulsed, tormented
ⲡ.ϩⲓⲧⲉ				ϩⲉⲧ-	ϩⲁⲧ=		n. m.		spasm, pain
ⲁⲧϩⲓⲧⲉ									unworn; untormented
ⲙⲛⲧⲣⲉϥϩⲓⲧⲉ									convulsion
ⲧ.ϩⲓⲱⲙⲉ	ϩⲓⲟⲙⲉ, ϩⲱⲙⲉ						n. f.		palm, hollow of hand (ⲛ ϭⲓϫ)
ϩⲕⲟ	(ⲉϩⲕⲟ)					ϩⲕⲁⲉⲓⲧ (ϩⲕⲟⲉⲓⲧ, ϩⲟⲕⲣ)			to become hungry (for: ⲙⲙⲟ/)
ⲡ.ϩⲕⲟ	(ⲉϩⲕⲟ)						n. m.		hunger, famine
ϩⲏⲕⲉ							adj. 	(bef. or aft. noun, with =n)	poor
ⲙⲛⲧϩⲏⲕⲉ									poverty
ⲙⲁⲓ-ϩⲏⲕⲉ									loving the poor
ⲙⲛⲧⲙⲁⲥⲧ-ϩⲏⲕⲉ									hatred of the poor
ⲣ-ϩⲏⲕⲉ									to become poor
ϩⲗⲕⲟⲩ	ϩⲉⲗⲕⲟⲩ, ϩⲁⲗⲕⲟⲩ						n. f. m.		sickle
ϩⲗⲗⲟ		(ϩⲗⲗⲱ, ϩⲗⲗⲟⲩ)	(ϩⲗⲗⲟⲓ)				n. m. f.		an old person, elder; esp. an older monk
ϩⲗⲗⲟ		(ϩⲗⲗⲱ, ϩⲗⲗⲟⲩ)	(ϩⲗⲗⲟⲓ)				adj.	(bef. or aft. noun with =n)	old
ⲙⲛⲧϩⲗⲗⲟ		ⲙⲛⲧϩⲗⲗⲱ							old age
ⲣ-ϩⲗⲗⲟ						ⲟ ⲛ ϩⲗⲗⲟ			to become old
ϩⲗⲟⲉⲓⲗⲉ	ϩⲗⲟⲉⲓⲗ, ϩⲗⲉⲉⲓⲗⲉ, ϩⲉⲗⲉⲓⲗⲉ						vb. tr.		to bear, carry (ⲙⲙⲟ/), usu. on surface of water
ϩⲗⲟⲉⲓⲗⲉ	ϩⲗⲟⲉⲓⲗ, ϩⲗⲉⲉⲓⲗⲉ, ϩⲉⲗⲉⲓⲗⲉ						vb. intr.		to be borne, carried; to float
ⲡ.ϩⲗⲟⲙⲗⲙ							n. m.		entanglement, snare
ϩⲗⲟⲟⲗⲉ							vb. tr.		to nurse (a child: ⲙⲙⲟ/); to carry a child during pregnancy or infancy
ⲣⲉϥϩⲗⲟⲟⲗⲉ							n. 		nurse
ⲡ.ϩⲗⲟⲡ							n. m.		a vessel (for pouring)
ϩⲗⲟⲡⲗⲡ	(ϩⲗⲟⲡⲗⲉⲡ)				ϩⲗⲡϩⲱⲡ=	ϩⲗⲉⲡⲗⲱⲡ	vb. tr.		to weary, plage (e, ⲉϫⲛ)
ϩⲗⲟⲡⲗⲡ	(ϩⲗⲟⲡⲗⲉⲡ)				ϩⲗⲡϩⲱⲡ=	ϩⲗⲉⲡⲗⲱⲡ	vb. intr.		to become weary, despondent
ⲡ.ϩⲗⲟⲡⲗⲡ	(ϩⲗⲟⲡⲗⲉⲡ)				ϩⲗⲡϩⲱⲡ=		n. m.		weariness, distress
ⲡ.ϩⲗⲟⲥⲧⲛ	ϩⲗⲟⲥⲧⲉⲛ						n. m.		mist
ⲣ-ϩⲗⲟⲥⲧⲛ									to become misty, dark
ϯ-ϩⲗⲟⲥⲧⲛ									to darken
ϩⲗⲟⲩⲗⲱⲟⲩ							Q		to be high, exalted
ϩⲗⲟϭ						ϩⲟⲗϭ			to become sweet, delightful
ϩⲁⲗϭ-								in cpds.	sweet in, sweet of 
ϩⲁⲗϭ-ϣⲁϫⲉ									sweet of speech
ϩⲁⲗϭ-ϩⲏⲧ									sweet of heart
ⲡ.ϩⲗⲟϭ							n. m.		sweetness, delight
ⲡ.ⲙⲛⲧϩⲗⲟϭ							n. m.		sweetness, delight
ϯ-ϩⲗⲟϭ									to make sweet, pleasant
ⲧ.ϩⲉⲗϭⲉ	ϩⲗϭⲉ						n. f.		sweetness
ⲧ.ϩⲗⲏϭⲉ							n. f.		sweetness
ⲡ.ϩⲗⲱⲙ	ⲗϩⲱⲙ, ϩⲗⲟⲙ						n. m.		louse, flea
ϩⲗⲱϭϥ							vb. intr.		to be easy, pleasant
ϩⲙⲉ							number	see §30.7.	forty
ⲙⲉϩⲙⲉ ⲛ ϩⲟⲟⲩ									Lent
ⲙⲉϩ ϩⲙⲉ									fortieth
ϩⲙⲉⲛⲉ							number		eighty
ϩⲙⲙⲉ									
ⲣ-ϩⲙⲙⲉ									to steer, guide (ⲙⲙⲟ/)
ⲡ.ⲣ-ϩⲙⲙⲉ							n. m.		guidance
ⲁⲧⲣ-ϩⲙⲙⲉ									unguided
ⲣⲉϥⲣ-ϩⲙⲙⲉ									pilot, guide
ⲡ.ϩⲙⲛⲧⲱⲣⲉ	ϩⲉⲙⲉⲧⲟⲣⲉ, ϩⲉⲃⲉⲧⲱⲣⲉ						n. m.		sign, token; password
ϩⲙⲟⲙ	(ϣⲙⲟⲙ)					ϣⲏⲙ			to become hot
ⲡ.ϩⲙⲟⲙ	(ϣⲙⲟⲙ)						n. m.		fever, heat
ϩⲙⲙⲉ							n. f. m.		heat, fever
ϯ-ϩⲙⲙⲉ									to give off heat
ϩⲙⲟⲟⲥ							vb. intr.	Used with most prep. in normal senses	to sit, sit down, be seated (+/- ⲉϩⲣⲁⲓ); to dwell, remain
ⲙⲁ ⲛ ϩⲙⲟⲟⲥ									(1) seat; (2) privy, latrine; (3) anus
ϭⲓⲛϩⲙⲟⲟⲥ									manner of sitting, dwelling
ⲡ.ϩⲙⲁⲓⲥ							n. m.		buttocks
ⲡ.ϩⲙⲟⲧ							n. m.		grace, gift, favor; gratitude, thanks, credit
ⲁⲧϩⲙⲟⲧ									graceless, thankless
ⲣ-ϩⲙⲟⲧ	ⲉⲓⲣⲉ ⲛ ⲟⲩϩⲙⲟⲧ								to grant a favor, give grace, give as a gift
ϯ-ϩⲙⲟⲧ									to give grace, to benefit, be kind to (ⲛⲁ/)
ϯ ⲙⲙⲟ_ ⲛ ϩⲙⲟⲧ									to give as a gift or favor
ϣⲡ-ϩⲙⲟⲧ ⲛⲧⲛ									to thank, give thanks to (for: ⲉϫⲛ, ϩⲓ, ϩⲁ)
ⲡ.ϣⲡ-ϩⲙⲟⲧ ⲛⲧⲛ							n. m.		thanksgiving
ⲁⲧϣⲡ-ϩⲙⲟⲧ									ungrateful
ⲣⲉϥϣⲡ-ϩⲙⲟⲧ									a grateful person
ⲙⲛⲧⲣⲉϥϣⲡ-ϩⲙⲟⲧ									gratitude
ϫⲓ-ϩⲙⲟⲧ									to obtain grace or favor (from: ⲉⲃⲟⲗ ϩⲛ, ⲛⲧⲛ; for someone: ⲉϫⲛ, hijⲛ)
ϭⲛ-ϩⲙⲟⲧ									to find favor or grace
ⲡ.ϩⲙⲟⲩ							n. m.		salt
ⲣ-ϩⲙⲟⲩ									to become salt
ϯ-ϩⲙⲟⲩ									to add salt
ϫⲓ-ϩⲙⲟⲩ									to be salted
ⲁⲧϩⲙⲟⲩ									unsalted
ⲥⲁ ⲛ ϩⲙⲟⲩ									salt-dealer, salt-seller
ϩⲙⲟϫ						ϩⲟⲙϫ			to become sour
ⲡ.ϩⲙϫ	ϩⲉⲙϫ, ϩⲏⲙϫ						n. m.		vinegar
ⲣ-ϩⲙϫ									to become sour
ϯ ⲉ ⲡϩⲙϫ									to start to turn sour
ⲡ.ϩⲙⲥ	ϩⲉⲙⲥ, ϩⲏⲙⲥ						n. m.		ear of grain
ϩⲙϩⲙ							vb. intr.		to roar, neigh
